bbox,hit1,image_id,intersect1,num_flips,pathology,top_patch_box,top_patch_gx,top_patch_gy
,0,59335_0,0,0,Atelectasis,,,
,0,58684_0,0,0,Atelectasis,,,
,0,57897_3,0,0,Atelectasis,,,
"[629, 441, 867, 585]",0,45817_1,1,2,Atelectasis,"[768, 256, 1024, 512]",3,1
,0,45208_0,0,0,Atelectasis,,,
,0,58647_0,0,0,Atelectasis,,,
,0,59444_1,0,0,Atelectasis,,,
,0,45687_3,0,0,Atelectasis,,,
,0,60736_1,0,0,Atelectasis,,,
"[804, 788, 969, 851]",0,48877_0,0,5,Atelectasis,"[256, 0, 512, 256]",1,0
"[749, 386, 762, 408]",0,57580_2,1,2,Calcification,"[512, 256, 768, 512]",2,1
"[391, 431, 421, 465]",0,47286_0,0,4,Calcification,"[256, 0, 512, 256]",1,0
"[607, 426, 689, 522]",0,57580_0,1,2,Calcification,"[512, 256, 768, 512]",2,1
"[331, 424, 366, 448]",0,41965_6,0,2,Calcification,"[256, 0, 512, 256]",1,0
"[305, 365, 327, 390]",0,55885_1,0,13,Calcification,"[0, 0, 256, 256]",0,0
"[95, 169, 417, 637]",0,67509_1,1,12,Consolidation,"[0, 0, 256, 256]",0,0
"[92, 255, 359, 737]",0,67520_0,0,4,Consolidation,"[512, 0, 768, 256]",2,0
,0,58689_0,0,0,Consolidation,,,
"[564, 137, 852, 869]",0,68970_3,0,3,Consolidation,"[256, 0, 512, 256]",1,0
,0,70007_0,0,0,Consolidation,,,
,0,42341_1,0,0,Effusion,,,
,0,70019_3,0,0,Effusion,,,
,0,69853_2,0,0,Effusion,,,
,0,55970_1,0,0,Effusion,,,
,0,57897_1,0,0,Effusion,,,
,0,44865_2,0,0,Emphysema,,,
"[507, 155, 828, 845]",1,45843_0,1,2,Emphysema,"[512, 256, 768, 512]",2,1
"[601, 150, 894, 713]",0,62011_3,0,3,Emphysema,"[256, 256, 512, 512]",1,1
,0,46981_0,0,0,Emphysema,,,
,0,55840_5,0,0,Emphysema,,,
,0,41752_3,0,0,Emphysema,,,
"[169, 185, 494, 948]",1,58758_2,1,1,Emphysema,"[256, 512, 512, 768]",1,2
,0,41518_3,0,0,Emphysema,,,
,0,47242_4,0,0,Emphysema,,,
,0,59573_4,0,0,Emphysema,,,
"[167, 160, 421, 646]",0,70438_2,1,3,Fibrosis,"[256, 0, 512, 256]",1,0
"[198, 165, 479, 839]",0,56037_1,1,14,Fibrosis,"[0, 0, 256, 256]",0,0
"[68, 538, 111, 598]",0,59421_1,0,9,Fracture,"[256, 0, 512, 256]",1,0
"[112, 137, 463, 375]",0,69965_0,1,12,Mass,"[0, 0, 256, 256]",0,0
"[251, 550, 305, 580]",0,39404_1,0,6,Nodule,"[512, 256, 768, 512]",2,1
"[716, 279, 756, 344]",0,68970_1,0,12,Nodule,"[256, 0, 512, 256]",1,0
,0,62061_0,0,0,Pneumothorax,,,
"[637, 150, 848, 418]",0,55965_0,0,1,Pneumothorax,"[256, 256, 512, 512]",1,1
"[560, 152, 760, 250]",0,61927_1,0,3,Pneumothorax,"[512, 256, 768, 512]",2,1
